1,Carefully perform neurologic examination,1
2,Identify abnormal findings,1
3,Use Doppler to measure blood pressure in an awake animal,2
4,Record systolic blood pressure,2
5,Set up an ECG machine and place leads correctly on animal for a 6-lead ECG,3
6,Obtain a diagnostic ECG,3
7,Interpret a 6-lead ECG correctly,4
8,Adjust fluid to body condition,5
9,"Choose appropriate type of fluids for patient
",5
10,Calculate the rate at which to administer the solution,6
11,Manipulate of antitumor drugs,7
12,Safety management of antitumor drugs,7
13,Protocols of Chemotherapy,7
14,Methods of administration according to drugs,7
15,Perform commercial ELISA kit testing for detecting,8
16," - Heartworm infection
 - Parvo, Corona, Distemper virus infection
 - FeLV, FIV virus infection
 - Giardia infection",8
17,Check anesthetic machine according to the delivery of gases,9
18,"Select and prepare breathing system, circuit and pollution control",9
19,Select and prepare monitoring equipment according to the patients,9
20,Perform preanesthetic evaluation including physical examination,10
21,Select appropriate drugs at safe and effective doses for the patient(s),10
22,Calculate doses correctly according to the administration route(s),10
23,Make anesthesia plan(s) for the patients of hospital,10
24,Choose appropriate drug(s) for sedation,11
25,Correctly administer drug(s) to the patient(s),11
26,Monitor the patient during sedation,11
27,Recover the patient from sedation,11
28,Asminister premedications to the patient(s),12
29,Administer induction agent(s),12
30,Perform endotracheal intubation,12
31,Administer inhalation agent(s),12
32,Calculate and administer fresh gas flow rate(s),12
33,Perform manual IPPV according to the condition of the patient(s),12
34,"Measure BT, HR, RR, pulse with several equipment(s)",13
35,"Evaluate findings from pulse oximetry, ECG, respiratory monitors",13
36,Assess and adjust depth of anesthesia,13
37,Ensure general health of the anesthetized and recovering patient(s),13
38,Respond to complications and emergencies during the anesthetic process,13
39,Complete anesthesia recording,13
40,Assess perioperative patient(s) for pain,14
41,Select appropriate analgesics and effective doses for the patient(s),14
42,Calculate doses correctly and administer,14
43,Re-evaluate the patient(s) after analgesic treatment,14
44,Assess clinical factors to determine appropriateness of euthanasia,15
45,Ensure ethical and welfare factors are taken into account,15
46,Maintain and adapt professional approach to the circumstances,15
47,Handle animals and equipment safely for euthanasia,15
48,Administer intravenous euthanasia drugs,15
49,Dispose of cadavers appropriately,15
50,Speculum is lubricated and gently inserted into the vagina by initially directing it dorsally and then cranially.,16
51,Exam vestibule and vagina.,16
52,"Flexible or rigid endoscopes are gently inserted into the vagina by vinitially directing it dorsally and then cranially. (If dogs are aggressive or sensitive, general anesthesia can be needed)",17
53,Exam the reproductive tract.,17
54,Part the lips of the vulva and gently insert a swab at a relatively steep angle,18
55,"After 1-2 inches of the swab have been inserted, the angle of insertion can be altered to roughly 45 degree and insertion continued",18
